Country,Country sp,Deaths,EW,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Iso3166,Lab Confirm,Last Available EpiWeek,Number of Records,PAHO Code Num,PAHO Code,Population,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,Serotype,Severe Dengue,Suspected,TIS,Type,W Pais,Year
Aruba,Aruba,0,13,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,14,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,15,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,16,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,17,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,18,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,19,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,20,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,21,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,22,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,23,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,24,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,25,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,26,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,27,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,28,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
